fly,signal,kind,r150,vm_cutoff_r150,baseline_valid_bins,vm_cutoff_valid_bins,vm_cutoff_fraction_retained,main_summary_eligible,interpretation,method_version
a2_s_01,a2_l,single_channel,-0.3005774831644207,-0.2855701946521215,287398,286960,0.9984759810437094,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_s_07,a2_l,single_channel,-0.247677580512819,-0.25100815229813245,183898,183592,0.998336034105863,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_s_08,a2_l,single_channel,-0.2354091749071834,-0.23379435532348014,287398,287388,0.99996520504666,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l,single_channel,-0.12029490042799688,-0.08165668388135275,344798,299514,0.86866513146828,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_01,a1_l,single_channel,-0.002032376985872864,-0.04966359316865559,344798,305348,0.8855851832087193,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_01,a2_l_rate,same_side_cross_type,0.5405151552948444,0.40655389407739817,344798,282313,0.8187779511482085,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_01,A_minus_B,same_side_cross_type,-0.1532985637667139,-0.07622926306488502,344798,282313,0.8187779511482085,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_01,A_plus_B,same_side_cross_type,-0.07101471556134308,-0.0880836615319871,344798,282313,0.8187779511482085,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_08,a2_l,single_channel,-0.23527109787018774,-0.13924500985178692,319098,287282,0.9002939535816583,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_08,a2_r,single_channel,0.23458528582683266,0.21864156772111307,319098,201429,0.6312449466934923,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_08,a2_l_rate,bilateral_same_type,0.25306874857301304,0.2636632244675659,319098,192520,0.6033256241029402,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_08,A_minus_B,bilateral_same_type,-0.37966585475298054,-0.33734978795279463,319098,192520,0.6033256241029402,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_08,A_plus_B,bilateral_same_type,-0.03062002565816584,0.05616167405761615,319098,192520,0.6033256241029402,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_12,a2_l,single_channel,-0.4687802352988456,-0.3138320836489442,138218,74756,0.5408557496129303,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_12,a2_r,single_channel,0.5185950804417025,0.3663858887449361,138218,135293,0.9788377780028651,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_12,a2_l_rate,bilateral_same_type,0.08423899543464579,0.2692325402702928,138218,73481,0.5316311913064868,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_12,A_minus_B,bilateral_same_type,-0.7119838534002212,-0.5935369144197169,138218,73481,0.5316311913064868,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_12,A_plus_B,bilateral_same_type,0.036666630158649724,0.1234700172020122,138218,73481,0.5316311913064868,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_13,a2_l,single_channel,-0.1393963178743936,-0.1393963178743936,53098,53098,1.0,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_13,a2_r,single_channel,0.2198811949473661,0.20923787862276355,53098,53076,0.9995856717767148,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_13,a2_l_rate,bilateral_same_type,0.23535719260518714,0.24036669990640525,53098,53076,0.9995856717767148,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_13,A_minus_B,bilateral_same_type,-0.2957955219966956,-0.2869456180576193,53098,53076,0.9995856717767148,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_13,A_plus_B,bilateral_same_type,0.09755243589462063,0.08753501489505594,53098,53076,0.9995856717767148,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,single_channel,-0.3644349319147687,-0.2876525247326424,144798,135282,0.9342808602328762,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_02,a1_l,single_channel,-0.32086262101396096,-0.39692375563160104,144798,61225,0.422830425834611,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l_rate,same_side_cross_type,0.5771943168618496,0.49115215295643017,144798,59587,0.41151811489108964,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_02,A_minus_B,same_side_cross_type,-0.09935087190348953,0.04660738193461163,144798,59587,0.41151811489108964,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_02,A_plus_B,same_side_cross_type,-0.38430573728450046,-0.3671522838298837,144798,59587,0.41151811489108964,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,single_channel,-0.4286180353937198,-0.2949332038165128,248298,211906,0.853434179896737,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_03,a1_l,single_channel,-0.3912029291402709,-0.33155426433924734,248298,162639,0.6550153444651186,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l_rate,same_side_cross_type,0.6654977502475451,0.42772664276264816,248298,157894,0.6359052428936197,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_03,A_minus_B,same_side_cross_type,-0.11146521917426011,-0.07132482869445614,248298,157894,0.6359052428936197,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_03,A_plus_B,same_side_cross_type,-0.44450570406315515,-0.3347949628905392,248298,157894,0.6359052428936197,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_14,a2_l,single_channel,-0.25663820979582047,-0.003639248652777691,133962,80258,0.5991101954285544,False,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_14,a2_r,single_channel,0.34544281383316044,0.15936199378785398,133962,65443,0.48851913229124677,False,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_14,a2_l_rate,bilateral_same_type,0.16801551563852488,0.0915654045322106,133962,12948,0.09665427509293681,False,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_14,A_minus_B,bilateral_same_type,-0.49082686701715456,-0.030967395522718478,133962,12948,0.09665427509293681,False,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a2_d_14,A_plus_B,bilateral_same_type,0.09960633954024901,-0.009846002054894495,133962,12948,0.09665427509293681,False,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_07,a1_l,single_channel,-0.25174939016598086,-0.07936916748311101,159498,29558,0.18531893816850367,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_07,a1_r,single_channel,0.15486993686103495,0.07388931769150993,159498,156672,0.9822819094910281,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_07,a1_l_rate,bilateral_same_type,0.4757345754132748,0.4268964864415446,159498,29281,0.1835822392757276,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_07,A_minus_B,bilateral_same_type,-0.43981480856993976,-0.3519714393915488,159498,29281,0.1835822392757276,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_07,A_plus_B,bilateral_same_type,-0.07562276888154526,0.16212422468693616,159498,29281,0.1835822392757276,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_09,a1_l,single_channel,-0.21289104523918218,-0.20561400329763216,265898,140955,0.5301092900285072,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_09,a1_r,single_channel,0.34660175539564664,0.3164102754885403,265898,263243,0.9900149681456799,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_09,a1_l_rate,bilateral_same_type,-0.09660066071429174,0.015535533633012202,265898,140850,0.529714401763082,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_09,A_minus_B,bilateral_same_type,-0.3951140741937465,-0.3916966918644644,265898,140850,0.529714401763082,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_d_09,A_plus_B,bilateral_same_type,0.2146552431570384,0.13832765088771654,265898,140850,0.529714401763082,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l,single_channel,-0.2988934546014083,-0.25657885243021333,344798,338490,0.9817052303087604,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_04,a1_l,single_channel,-0.17456397554303685,-0.06771172359389971,344798,109088,0.3163823456052529,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_04,a2_l_rate,same_side_cross_type,0.4412426929130352,0.3153104417372539,344798,109082,0.31636494411220484,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_04,A_minus_B,same_side_cross_type,-0.21957382182071616,-0.15782926038858833,344798,109082,0.31636494411220484,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
a1_a2_d_04,A_plus_B,same_side_cross_type,-0.28243685155335363,-0.16553916825666257,344798,109082,0.31636494411220484,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction",epoch-isolated-sensitivity/v2
