dataset,bodyId,type,instance,annotation_bodypart,subclass,superclass,somaSide,somaNeuromere,exitNerve,statusLabel,target_muscle,joint,anatomical_or_literature_action,action_mapping_status,evidence_source,evidence_table,limits,physiological_record_of_this_bodyId,incoming_edges,incoming_weight,top_3_presynaptic_bodies
male-cns:v1.0,10738,GNG641,GNG641_L,頸筋群,nm,cb_motor,L,,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,716,8319,"[{""bodyId"": ""13622"", ""type"": ""DNg73"", ""superclass"": ""descending_neuron"", ""weight"": 313}, {""bodyId"": ""511926"", ""type"": ""ANXXX068"", ""superclass"": ""ascending_neuron"", ""weight"": 268}, {""bodyId"": ""520118"", ""type"": ""DNge148"", ""superclass"": ""descending_neuron"", ""weight"": 218}]"
male-cns:v1.0,10754,CvN7,CvN7_L,頸筋群,nm,cb_motor,L,,CvN,Roughly traced,VL1 (ventral longitudinal neck muscle),,頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。CvN7はpitch方向が初期姿勢により反転,exact_type_label_bridge,GOR24,data/nonleg_muscle_evidence.csv,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。,not_measured,531,8965,"[{""bodyId"": ""10751"", ""type"": ""GNG507"", ""superclass"": ""cb_intrinsic"", ""weight"": 518}, {""bodyId"": ""11803"", ""type"": ""CB0671"", ""superclass"": ""cb_intrinsic"", ""weight"": 488}, {""bodyId"": ""12209"", ""type"": ""GNG549"", ""superclass"": ""cb_intrinsic"", ""weight"": 403}]"
male-cns:v1.0,10827,GNG651,GNG651_L,触角筋候補群,am,cb_motor,L,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,936,6372,"[{""bodyId"": ""75379"", ""type"": ""EA06B010"", ""superclass"": ""efferent_ascending"", ""weight"": 259}, {""bodyId"": ""11751"", ""type"": ""GNG294"", ""superclass"": ""cb_intrinsic"", ""weight"": 247}, {""bodyId"": ""18714"", ""type"": ""AN18B004"", ""superclass"": ""ascending_neuron"", ""weight"": 228}]"
male-cns:v1.0,10863,,,触角筋候補群,am,cb_motor,R,,AN,Prelim Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,606,6584,"[{""bodyId"": ""13685"", ""type"": ""DNge008"", ""superclass"": ""descending_neuron"", ""weight"": 310}, {""bodyId"": ""11158"", ""type"": ""DNge026"", ""superclass"": ""descending_neuron"", ""weight"": 228}, {""bodyId"": ""511989"", ""type"": ""GNG130"", ""superclass"": ""cb_intrinsic"", ""weight"": 224}]"
male-cns:v1.0,10927,PS348,PS348(hb1622540849)_R,触角筋候補群,am,cb_motor,R,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,726,8488,"[{""bodyId"": ""523372"", ""type"": ""PS308"", ""superclass"": ""cb_intrinsic"", ""weight"": 385}, {""bodyId"": ""13475"", ""type"": ""GNG294"", ""superclass"": ""cb_intrinsic"", ""weight"": 318}, {""bodyId"": ""23188"", ""type"": ""AN18B023"", ""superclass"": ""ascending_neuron"", ""weight"": 293}]"
male-cns:v1.0,11051,PS348,PS348_L,触角筋候補群,am,cb_motor,L,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,659,7618,"[{""bodyId"": ""521538"", ""type"": ""PS308"", ""superclass"": ""cb_intrinsic"", ""weight"": 353}, {""bodyId"": ""11751"", ""type"": ""GNG294"", ""superclass"": ""cb_intrinsic"", ""weight"": 324}, {""bodyId"": ""10834"", ""type"": ""DNpe013"", ""superclass"": ""descending_neuron"", ""weight"": 268}]"
male-cns:v1.0,11084,MN1,MN1_L,摂食筋群（口器・咽頭等）,pm,cb_motor,L,GNG,MxLbN,Prelim Roughly traced,m1,,rostrum退縮。伸展状態ではhaustellum屈曲も誘起,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。,not_measured,302,1716,"[{""bodyId"": ""19810"", ""type"": ""GNG292"", ""superclass"": ""cb_intrinsic"", ""weight"": 156}, {""bodyId"": ""13803"", ""type"": ""DNg61"", ""superclass"": ""descending_neuron"", ""weight"": 86}, {""bodyId"": ""13186"", ""type"": ""DNge028"", ""superclass"": ""descending_neuron"", ""weight"": 81}]"
male-cns:v1.0,11265,PS349,PS349_L,rm群（網膜筋候補・未確定）,rm,cb_motor,L,,AN,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,558,6743,"[{""bodyId"": ""521538"", ""type"": ""PS308"", ""superclass"": ""cb_intrinsic"", ""weight"": 561}, {""bodyId"": ""12813"", ""type"": ""GNG556"", ""superclass"": ""cb_intrinsic"", ""weight"": 508}, {""bodyId"": ""12028"", ""type"": ""GNG556"", ""superclass"": ""cb_intrinsic"", ""weight"": 493}]"
male-cns:v1.0,11269,MN11D,MN11D_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,PhN,Roughly traced,m11D (pharyngeal musculature),,咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。,not_measured,708,11900,"[{""bodyId"": ""10553"", ""type"": ""GNG001"", ""superclass"": ""cb_intrinsic"", ""weight"": 1009}, {""bodyId"": ""50835"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 713}, {""bodyId"": ""42089"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 690}]"
male-cns:v1.0,11316,CvN4,CvN4_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,VL2 (ventral longitudinal neck muscle),,頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,exact_type_label_bridge,GOR24,data/nonleg_muscle_evidence.csv,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。,not_measured,431,5896,"[{""bodyId"": ""11211"", ""type"": ""CB0671"", ""superclass"": ""cb_intrinsic"", ""weight"": 347}, {""bodyId"": ""12875"", ""type"": ""GNG549"", ""superclass"": ""cb_intrinsic"", ""weight"": 301}, {""bodyId"": ""39102"", ""type"": ""GNG507"", ""superclass"": ""cb_intrinsic"", ""weight"": 244}]"
male-cns:v1.0,11354,GNG650,GNG650_R,頸筋群,nm,cb_motor,R,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,763,9556,"[{""bodyId"": ""342502"", ""type"": ""AN18B004"", ""superclass"": ""ascending_neuron"", ""weight"": 275}, {""bodyId"": ""63441"", ""type"": ""EA06B010"", ""superclass"": ""efferent_ascending"", ""weight"": 271}, {""bodyId"": ""12745"", ""type"": ""GNG046"", ""superclass"": ""cb_intrinsic"", ""weight"": 260}]"
male-cns:v1.0,11393,MN11D,MN11D_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,PhN,Roughly traced,m11D (pharyngeal musculature),,咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。,not_measured,671,12163,"[{""bodyId"": ""10553"", ""type"": ""GNG001"", ""superclass"": ""cb_intrinsic"", ""weight"": 1010}, {""bodyId"": ""50835"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 816}, {""bodyId"": ""12609"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 781}]"
male-cns:v1.0,11403,GNG641,GNG641_R,頸筋群,nm,cb_motor,R,,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,763,7857,"[{""bodyId"": ""13471"", ""type"": ""ANXXX068"", ""superclass"": ""ascending_neuron"", ""weight"": 354}, {""bodyId"": ""14278"", ""type"": ""DNg73"", ""superclass"": ""descending_neuron"", ""weight"": 307}, {""bodyId"": ""22390"", ""type"": ""DNge008"", ""superclass"": ""descending_neuron"", ""weight"": 226}]"
male-cns:v1.0,11450,MN4b,MN4b_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,MxLbN,Roughly traced,m4 candidate,,haustellum伸展の亜型候補,candidate_subtype,MCK20;GUS26,data/nonleg_muscle_evidence.csv,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。,not_measured,333,2198,"[{""bodyId"": ""10673"", ""type"": ""GNG002"", ""superclass"": ""cb_intrinsic"", ""weight"": 110}, {""bodyId"": ""12752"", ""type"": ""DNge080"", ""superclass"": ""descending_neuron"", ""weight"": 105}, {""bodyId"": ""12364"", ""type"": ""DNge080"", ""superclass"": ""descending_neuron"", ""weight"": 96}]"
male-cns:v1.0,11529,GNG652,GNG652_R,触角筋候補群,am,cb_motor,R,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,519,3410,"[{""bodyId"": ""18255"", ""type"": ""CB0224"", ""superclass"": ""cb_intrinsic"", ""weight"": 190}, {""bodyId"": ""13758"", ""type"": ""AN06B040"", ""superclass"": ""ascending_neuron"", ""weight"": 117}, {""bodyId"": ""15997"", ""type"": ""WED165"", ""superclass"": ""cb_intrinsic"", ""weight"": 89}]"
male-cns:v1.0,11861,MN10,MN10_R,摂食筋群（口器・咽頭等）,pm,cb_motor,R,,PhN,Prelim Roughly traced,m10 (pharyngeal musculature),,咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,exact_type_label_bridge,MCK20,data/nonleg_muscle_evidence.csv,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。,not_measured,250,2292,"[{""bodyId"": ""15903"", ""type"": ""GNG077"", ""superclass"": ""cb_intrinsic"", ""weight"": 125}, {""bodyId"": ""42089"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 123}, {""bodyId"": ""50835"", ""type"": ""GNG334"", ""superclass"": ""cb_intrinsic"", ""weight"": 120}]"
male-cns:v1.0,11879,GNG276,GNG276_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,432,6528,"[{""bodyId"": ""12787"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 307}, {""bodyId"": ""11424"", ""type"": ""DNge026"", ""superclass"": ""descending_neuron"", ""weight"": 304}, {""bodyId"": ""519896"", ""type"": ""DNa06"", ""superclass"": ""descending_neuron"", ""weight"": 276}]"
male-cns:v1.0,11934,GNG650,GNG650_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,744,8863,"[{""bodyId"": ""18714"", ""type"": ""AN18B004"", ""superclass"": ""ascending_neuron"", ""weight"": 277}, {""bodyId"": ""75379"", ""type"": ""EA06B010"", ""superclass"": ""efferent_ascending"", ""weight"": 242}, {""bodyId"": ""12533"", ""type"": ""GNG046"", ""superclass"": ""cb_intrinsic"", ""weight"": 212}]"
male-cns:v1.0,11979,GNG651,GNG651_R,触角筋候補群,am,cb_motor,R,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,1146,7961,"[{""bodyId"": ""13475"", ""type"": ""GNG294"", ""superclass"": ""cb_intrinsic"", ""weight"": 297}, {""bodyId"": ""63441"", ""type"": ""EA06B010"", ""superclass"": ""efferent_ascending"", ""weight"": 269}, {""bodyId"": ""15979"", ""type"": ""GNG666"", ""superclass"": ""cb_intrinsic"", ""weight"": 210}]"
male-cns:v1.0,12076,GNG647,GNG647_R,rm群（網膜筋候補・未確定）,rm,cb_motor,R,,ON,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,474,6447,"[{""bodyId"": ""13295"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 331}, {""bodyId"": ""524412"", ""type"": ""DNa06"", ""superclass"": ""descending_neuron"", ""weight"": 218}, {""bodyId"": ""13074"", ""type"": ""GNG163"", ""superclass"": ""cb_intrinsic"", ""weight"": 212}]"
male-cns:v1.0,12097,GNG283,GNG283_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,470,7460,"[{""bodyId"": ""519896"", ""type"": ""DNa06"", ""superclass"": ""descending_neuron"", ""weight"": 389}, {""bodyId"": ""12787"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 324}, {""bodyId"": ""514766"", ""type"": ""GNG161"", ""superclass"": ""cb_intrinsic"", ""weight"": 232}]"
male-cns:v1.0,12126,GNG647,GNG647_L,rm群（網膜筋候補・未確定）,rm,cb_motor,L,,ON,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,486,6891,"[{""bodyId"": ""12787"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 339}, {""bodyId"": ""519896"", ""type"": ""DNa06"", ""superclass"": ""descending_neuron"", ""weight"": 254}, {""bodyId"": ""14732"", ""type"": ""GNG163"", ""superclass"": ""cb_intrinsic"", ""weight"": 209}]"
male-cns:v1.0,12141,CvN4,CvN4_R,頸筋群,nm,cb_motor,R,LB,CvN,Roughly traced,VL2 (ventral longitudinal neck muscle),,頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,exact_type_label_bridge,GOR24,data/nonleg_muscle_evidence.csv,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。,not_measured,505,8048,"[{""bodyId"": ""11803"", ""type"": ""CB0671"", ""superclass"": ""cb_intrinsic"", ""weight"": 469}, {""bodyId"": ""12209"", ""type"": ""GNG549"", ""superclass"": ""cb_intrinsic"", ""weight"": 367}, {""bodyId"": ""10751"", ""type"": ""GNG507"", ""superclass"": ""cb_intrinsic"", ""weight"": 317}]"
male-cns:v1.0,12173,GNG314,GNG314_L,rm群（網膜筋候補・未確定）,rm,cb_motor,L,,ON,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,338,5877,"[{""bodyId"": ""23361"", ""type"": ""ANXXX191"", ""superclass"": ""ascending_neuron"", ""weight"": 231}, {""bodyId"": ""12533"", ""type"": ""GNG046"", ""superclass"": ""cb_intrinsic"", ""weight"": 191}, {""bodyId"": ""228797"", ""type"": ""GNG293"", ""superclass"": ""cb_intrinsic"", ""weight"": 187}]"
male-cns:v1.0,12180,GNG653,GNG653_L,頸筋群,nm,cb_motor,L,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,634,9248,"[{""bodyId"": ""23361"", ""type"": ""ANXXX191"", ""superclass"": ""ascending_neuron"", ""weight"": 281}, {""bodyId"": ""12787"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 266}, {""bodyId"": ""14887"", ""type"": ""DNge072"", ""superclass"": ""descending_neuron"", ""weight"": 256}]"
male-cns:v1.0,12342,GNG276,GNG276_R,頸筋群,nm,cb_motor,R,LB,CvN,Roughly traced,unassigned,,頸部注釈のみ。具体的筋/作用未同定,annotation_only,GOR24;BANC26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,380,5999,"[{""bodyId"": ""524412"", ""type"": ""DNa06"", ""superclass"": ""descending_neuron"", ""weight"": 300}, {""bodyId"": ""13295"", ""type"": ""DNge033"", ""superclass"": ""descending_neuron"", ""weight"": 278}, {""bodyId"": ""11158"", ""type"": ""DNge026"", ""superclass"": ""descending_neuron"", ""weight"": 240}]"
male-cns:v1.0,12631,GNG314,GNG314_R,rm群（網膜筋候補・未確定）,rm,cb_motor,R,,ON,Roughly traced,unassigned,,網膜注釈のみ。具体的筋/作用未同定,annotation_only,FEN22,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,382,6859,"[{""bodyId"": ""12745"", ""type"": ""GNG046"", ""superclass"": ""cb_intrinsic"", ""weight"": 275}, {""bodyId"": ""12906"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 254}, {""bodyId"": ""515804"", ""type"": ""ANXXX191"", ""superclass"": ""ascending_neuron"", ""weight"": 245}]"
male-cns:v1.0,12642,GNG649,GNG649_L,触角筋候補群,am,cb_motor,L,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,583,4712,"[{""bodyId"": ""513970"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 128}, {""bodyId"": ""16172"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 120}, {""bodyId"": ""19433"", ""type"": ""AN19B025"", ""superclass"": ""ascending_neuron"", ""weight"": 102}]"
male-cns:v1.0,12657,GNG668,GNG668_R,触角筋候補群,am,cb_motor,R,,AN,Roughly traced,unassigned,,触角注釈のみ。具体的筋/作用未同定,annotation_only,SUV23;OZD26,data/nonleg_muscle_evidence.csv,型名/出神経のみから具体的筋や作用を推定しない。,not_measured,228,2001,"[{""bodyId"": ""11234"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 180}, {""bodyId"": ""12906"", ""type"": ""GNG423"", ""superclass"": ""cb_intrinsic"", ""weight"": 164}, {""bodyId"": ""13364"", ""type"": ""DNge022"", ""superclass"": ""descending_neuron"", ""weight"": 154}]"
