entity_id,ref,bodyId,type,instance,somaSide,somaNeuromere,dataset,connectome_sex,target_groups_t10,predictedNt,evidence_level,experimental_type,experiment_sex,recording_or_intervention_side,driver,activity_correlation,sufficiency,necessity,data_access,primary_sources,type_mapping_evidence,limitations,same_physical_recorded_cell
male-cns:v1.0:805054,IN03A024・male-cns:v1.0:805054,805054,IN03A024,IN03A024_R,R,T2,male-cns:v1.0,male,T2R:root_pra|T2R:root_sar,acetylcholine,previous_no_new_activity,IN03A024,unresolved,unresolved,unresolved for functional measurements,no added individual natural activity record identified in this bounded search,not established,not established,previous structural evidence remains available; no activity raw acquired,MaleCNS structural evidence: data/studied_totals.csv and data/connectivity/studied_incoming.csv.gz; no added activity source identified in the bounded search,previous MaleCNS individual identity preserved,bounded search not evidence of nonexistence,False
male-cns:v1.0:10056,DNg100・male-cns:v1.0:10056,10056,DNg100,DNg100_R,R,,male-cns:v1.0,male,T1L:root_pra|T1L:root_promotor|T1L:root_spr|T2L:knee_extensor|T2L:root_pra|T2L:root_sar|T2L:root_spr|T3L:root_pra|T3L:root_sar|T3L:root_spr,acetylcholine,type_matched_recording_and_perturbation,BDN2 / DNg100,"female; activation/silencing 6-9 days, in vivo Ca methods4-7 days",bilateral driver; Fig3l left and right Ca channels,VT058557-AD x R85F12-DBD; OpGCaMP6f/CsChrimson/GtACR1,Sapkal Ca forward but not angular velocity correlation; Fig3l example numerical series obtained; paper n=3,activation initiates forward walking in intact and decapitated flies,GtACR1 reduces free forward velocity under warm assay; does not prove all forward locomotion requires this type,published Fig3 data XLSX acquired14.47MB; full Fig3 ZIP13.15GB located but not fetched; units mm/s verified in Fig3; author code uses ON-window per-trial medians averaged over first three trials; XLSX rows not regenerated from tracking raw,Sapkal2024 Fig3j-l/Extended6e; Dallmann2025 suppl1-2,Sapkal Supplementary Table 3 (source/sapkal_supp4.xlsx) FlyWire row8 BDN2=DNg100; FANC+MANC row6 MANC10093/10339; VFB maps these and MaleCNS10045/10056,recorded females not MaleCNS male; no individual ID/time column in Fig3l spreadsheet; original display/sample processing not reversed; Dallmann DNg100 activation to hook uses indirect circuit,False
male-cns:v1.0:10360,DNa02・male-cns:v1.0:10360,10360,DNa02,DNa02_R,R,,male-cns:v1.0,male,T1R:root_sar|T2R:root_sar|T3R:root_pra|T3R:root_sar,acetylcholine,type_matched_recording_and_perturbation,DNa02,female,recording left or right; bilateral DN pairing; unilateral or bilateral activation/silencing,SS00730 (R75C10-AD x R87D07-DBD); dual SS00731 + R75C10-GAL4,whole-cell Vm/spikes; transient high-gain ipsiversive steering; bilateral rate difference predicts rotation; Yang Ca n=8,unilateral ReaChR biases ipsiversive rotation (16 unilateral /17 bilateral controls); Yang activation shortens ipsilateral return stroke,bilateral GtACR1 changes step length/frequency; rotation speed preserved in Rayshubskiy; no claim whole turning requires DNa02,Rayshubskiy public raw acquisition/reanalysis in sibling dynamics package; Yang raw upon request,Rayshubskiy2025 Fig1-2/4/8; Yang2024 Fig2/4-6,same MaleCNS type; VFB FBbt_00047573 lists 10360/523769,few off-target cells; startle confounds forward velocity in ReaChR assay; electrical current injection did not reliably alter DNa02 spikes in Yang; female/male and individual boundary,False
male-cns:v1.0:523769,DNa02・male-cns:v1.0:523769,523769,DNa02,DNa02_L,L,,male-cns:v1.0,male,T1L:root_sar|T1L:root_spr|T2L:knee_flexor|T2L:root_sar|T3L:root_pra|T3L:root_sar|T3L:root_spr,acetylcholine,type_matched_recording_and_perturbation,DNa02,female,recording left or right; bilateral DN pairing; unilateral or bilateral activation/silencing,SS00730 (R75C10-AD x R87D07-DBD); dual SS00731 + R75C10-GAL4,whole-cell Vm/spikes; transient high-gain ipsiversive steering; bilateral rate difference predicts rotation; Yang Ca n=8,unilateral ReaChR biases ipsiversive rotation (16 unilateral /17 bilateral controls); Yang activation shortens ipsilateral return stroke,bilateral GtACR1 changes step length/frequency; rotation speed preserved in Rayshubskiy; no claim whole turning requires DNa02,Rayshubskiy public raw acquisition/reanalysis in sibling dynamics package; Yang raw upon request,Rayshubskiy2025 Fig1-2/4/8; Yang2024 Fig2/4-6,same MaleCNS type; VFB FBbt_00047573 lists 10360/523769,few off-target cells; startle confounds forward velocity in ReaChR assay; electrical current injection did not reliably alter DNa02 spikes in Yang; female/male and individual boundary,False
male-cns:v1.0:801246,LBL40・male-cns:v1.0:801246,801246,LBL40,LBL40_L,L,T3,male-cns:v1.0,male,T3L:knee_flexor|T3R:knee_flexor|T3R:root_spr,acetylcholine,type_matched_evoked_activity_and_perturbation,LBL40 / MF01,both sexes for activation behavior; female only for Ca and GtACR2 epistasis,"T3 bilateral pair; SS47938 type-specific, SS46243 has extra ascending pair",SS47938 / SS46243; CsChrimson/GtACR2/GCaMP,ex vivo female CNS Ca responds to MDN activation; not natural walking spike timing,activation induces hindleg tibia flexion via LUM9; occasional full step after flexion,silencing during MDN-induced backward walking reduces stance tibia flexion speed/amplitude,published summary source XLSX197897 bytes acquired; full raw other datasets upon reasonable request,Feng2020 Fig4b/5/7; Methods calcium imaging and fly stocks,same literal MaleCNS LBL40 type801246/801214; no individual mapping asserted,Feng described morphology resembling14B whereas current explorer annotates07B; lineage alone not identity proof; natural firing and single-side causal contribution unmeasured,False
male-cns:v1.0:11074,DNg13・male-cns:v1.0:11074,11074,DNg13,DNg13_L,L,,male-cns:v1.0,male,T1R:root_promotor|T2R:root_spr,acetylcholine,type_matched_recording_and_perturbation,DNg13,female,soma side defines ipsi; principal effect on contralateral legs; left/right records pooled,SS02259 (VT027166-AD x VT009857-DBD),whole-cell Vm/spikes (n=9 cells/flies natural relation) and Ca (n=5); ipsiversive rotation with soma-side convention,depolarizing current +100pA increases contralateral stride length; natural firing correlates with contralateral stride length,hyperpolarizing current -75pA suppresses spikes and decreases contralateral stride length; not complete loss of turning,Yang raw upon request; publication and code public; no raw numerical trace acquired,Yang2024 Fig2/4-6; Methods Current injection experiments,same MaleCNS type; VFB FBbt_00047605 lists 11074; experimental identity confirmed through FANC morphology in paper,official MaleCNS explorer marks DNg13 sexually dimorphic; +100/-75pA 0.5s or1s protocols pooled; high/low firing trial filters applied; same type is not same specimen,False
male-cns:v1.0:801214,LBL40・male-cns:v1.0:801214,801214,LBL40,LBL40_R,R,T3,male-cns:v1.0,male,T3L:knee_flexor|T3R:knee_flexor,acetylcholine,type_matched_evoked_activity_and_perturbation,LBL40 / MF01,both sexes for activation behavior; female only for Ca and GtACR2 epistasis,"T3 bilateral pair; SS47938 type-specific, SS46243 has extra ascending pair",SS47938 / SS46243; CsChrimson/GtACR2/GCaMP,ex vivo female CNS Ca responds to MDN activation; not natural walking spike timing,activation induces hindleg tibia flexion via LUM9; occasional full step after flexion,silencing during MDN-induced backward walking reduces stance tibia flexion speed/amplitude,published summary source XLSX197897 bytes acquired; full raw other datasets upon reasonable request,Feng2020 Fig4b/5/7; Methods calcium imaging and fly stocks,same literal MaleCNS LBL40 type801246/801214; no individual mapping asserted,Feng described morphology resembling14B whereas current explorer annotates07B; lineage alone not identity proof; natural firing and single-side causal contribution unmeasured,False
male-cns:v1.0:10760,DNa01・male-cns:v1.0:10760,10760,DNa01,DNa01(VES006)_R,R,,male-cns:v1.0,male,T2R:knee_flexor|T2R:root_spr|T3R:root_pra|T3R:root_spr,acetylcholine,type_matched_recording_and_perturbation,DNa01,female; Rayshubskiy 1-2 days except specified,recordings left or right; bilateral silencing,SS00731 (R22C05-AD x R56G08-DBD); dual recording SS00731 + R75C10-GAL4,whole-cell Vm/spikes; sustained low-gain ipsiversive steering prediction; Yang Ca n=10,not established by isolated DNa01 activation in these inspected papers,"GtACR1 reduced sideways speed, inner-back-leg stance prolongation, step frequency and forward velocity; rotation speed not significantly altered",Rayshubskiy DOI10.7910/DVN/0NCLP1 public acquisition/reanalysis in sibling dynamics package; Yang numerical data upon request,Rayshubskiy2025 Fig1-2/8; Yang2024 Fig2,same MaleCNS type; VFB FBbt_00047572 lists MaleCNS10760; Rayshubskiy cautions earlier hemibrain DNa01 mislabel,few off-target cells in driver; not rotation necessity; connectome male differs from recorded female; no same physical cell,False
male-cns:v1.0:230783,DNg97・male-cns:v1.0:230783,230783,DNg97,DNg97_R,R,MX,male-cns:v1.0,male,T1L:knee_flexor|T1L:root_promotor|T1L:root_sar|T2L:knee_flexor,acetylcholine,type_matched_perturbation,oDN1 / DNg97,female6-9days,bilateral driver,VT057295-AD x VT040698-DBD; CsChrimson/GtACR1,no natural oDN1 activity time series identified in Sapkal Fig3; in silico rate panels separate,activation initiates forward walking in intact and decapitated flies,silencing did not show forward velocity reduction in the reported assay; not proof dispensable in all contexts,Fig3j-k published individual-column values acquired; units mm/s verified in Fig3; author code uses ON-window per-trial medians averaged over first three trials; XLSX rows not regenerated from tracking raw,Sapkal2024 Fig3j-k/Extended6e; Dallmann2025 suppl2,Sapkal Supplementary Table 3 (source/sapkal_supp4.xlsx) FlyWire row10 oDN1=DNg97; FANC+MANC row19 MANC10656/11070; VFB maps those and MaleCNS13805/230783,simulation spikes not measured spikes; null intervention result context-limited; female/male individual boundary,False
male-cns:v1.0:10118,DNb05・male-cns:v1.0:10118,10118,DNb05,DNb05_L,L,,male-cns:v1.0,male,T1L:knee_extensor|T2L:knee_extensor|T3L:knee_extensor|wing_b1|wing_b2,acetylcholine,type_matched_activity_correlation,DNb05,female,left-right paired Ca; ipsiversive relative to soma side,SS01051 (VT019391-AD x VT028198-DBD),Ca bilateral difference correlates with ipsiversive steering; Yang Fig2 n=7,not verified for this type in selected paper,not verified for this type in selected paper,Yang raw upon request,Yang2024 Fig2/S3; Namiki2018 driver dictionary,same literal MaleCNS type; primary experiment names DNb05; FlyBase FBco0000523 maps SS01051,official MaleCNS explorer marks DNb05 sexually dimorphic; Ca is not spike rate; correlation not causal role,False
male-cns:v1.0:13805,DNg97・male-cns:v1.0:13805,13805,DNg97,DNg97_L,L,MX,male-cns:v1.0,male,T1R:knee_flexor|T1R:root_promotor|T1R:root_sar|T2R:knee_flexor,acetylcholine,type_matched_perturbation,oDN1 / DNg97,female6-9days,bilateral driver,VT057295-AD x VT040698-DBD; CsChrimson/GtACR1,no natural oDN1 activity time series identified in Sapkal Fig3; in silico rate panels separate,activation initiates forward walking in intact and decapitated flies,silencing did not show forward velocity reduction in the reported assay; not proof dispensable in all contexts,Fig3j-k published individual-column values acquired; units mm/s verified in Fig3; author code uses ON-window per-trial medians averaged over first three trials; XLSX rows not regenerated from tracking raw,Sapkal2024 Fig3j-k/Extended6e; Dallmann2025 suppl2,Sapkal Supplementary Table 3 (source/sapkal_supp4.xlsx) FlyWire row10 oDN1=DNg97; FANC+MANC row19 MANC10656/11070; VFB maps those and MaleCNS13805/230783,simulation spikes not measured spikes; null intervention result context-limited; female/male individual boundary,False
male-cns:v1.0:10065,DNb05・male-cns:v1.0:10065,10065,DNb05,DNb05_R,R,,male-cns:v1.0,male,T1R:knee_extensor|T2R:knee_extensor|T3R:knee_extensor|wing_b1|wing_b2,acetylcholine,type_matched_activity_correlation,DNb05,female,left-right paired Ca; ipsiversive relative to soma side,SS01051 (VT019391-AD x VT028198-DBD),Ca bilateral difference correlates with ipsiversive steering; Yang Fig2 n=7,not verified for this type in selected paper,not verified for this type in selected paper,Yang raw upon request,Yang2024 Fig2/S3; Namiki2018 driver dictionary,same literal MaleCNS type; primary experiment names DNb05; FlyBase FBco0000523 maps SS01051,official MaleCNS explorer marks DNb05 sexually dimorphic; Ca is not spike rate; correlation not causal role,False
male-cns:v1.0:11067,DNb06・male-cns:v1.0:11067,11067,DNb06,DNb06_R,R,,male-cns:v1.0,male,T1L:knee_flexor|T1L:root_promotor|wing_b1,acetylcholine,type_matched_activity_correlation,DNb06,female,left-right paired Ca; contraversive relative to soma side,SS02631 (R20C04-AD x VT025999-DBD),Ca bilateral difference correlates with contraversive steering; Yang Fig2 n=7,not verified for this type in selected paper,not verified for this type in selected paper,Yang raw upon request,Yang2024 Fig2/S3; Namiki2018 driver dictionary,same literal MaleCNS type; primary experiment names DNb06,only right MaleCNS candidate11067 passes target selection; this does not show physiology exists only on right; Ca not spikes,False
